gene_symbol	ensp_id	proximity	sn_tpm
BIN2	9606.ENSP00000267012	1.0695187165775402	3.95791
SNRPF	9606.ENSP00000266735	1.0695187165775402	13.4346
MINPP1	9606.ENSP00000361064	1.0695187165775402	4.67741
PLD2	9606.ENSP00000263088	1.0695187165775402	16.1266
ATP5A1	9606.ENSP00000381736	1.0706638115631693	79.8387
RPS14	9606.ENSP00000385958	1.0706638115631693	235.782
CS	9606.ENSP00000342056	1.0706638115631693	40.0289
KEAP1	9606.ENSP00000171111	1.0706638115631693	25.7292
STON1	9606.ENSP00000384615	1.0706638115631693	3.6531
LRSAM1	9606.ENSP00000322937	1.0706638115631693	11.185
UBE2M	9606.ENSP00000253023	1.0706638115631693	74.2089
RPL3	9606.ENSP00000346001	1.0706638115631693	560.312
BRSK1	9606.ENSP00000310649	1.0706638115631693	58.3246
